precision,recall,f1-score,support,accuracy,ROC,category,class,model_name
0.9907835392329888,0.8171148692357453,0.8956078044086552,43284.0,,,toxic,0,model1_Dense_lossC_aug
0.3498151950718686,0.9282911944202267,0.508142933842391,4588.0,,,toxic,1,model1_Dense_lossC_aug
0.9293538357944188,0.8277698863636364,0.8584735959745388,47872.0,0.8277698863636364,0.9488171183941393,toxic,weighted avg,model1_Dense_lossC_aug
0.9992197949175212,0.9458147827738274,0.9717841154217207,47393.0,,,severe_toxic,0,model1_Dense_lossC_aug
0.14741035856573706,0.9269311064718163,0.2543683758235463,479.0,,,severe_toxic,1,model1_Dense_lossC_aug
0.9906967183798269,0.9456258355614974,0.9646057619109519,47872.0,0.9456258355614974,0.9797474121135284,severe_toxic,weighted avg,model1_Dense_lossC_aug
0.9954149472718936,0.9098308225070031,0.9507006545588642,45337.0,,,obscene,0,model1_Dense_lossC_aug
0.3645266594124048,0.9250493096646942,0.5229705619982159,2535.0,,,obscene,1,model1_Dense_lossC_aug
0.9620070719016605,0.9106366978609626,0.9280507593248811,47872.0,0.9106366978609626,0.9680145693054151,obscene,weighted avg,model1_Dense_lossC_aug
0.9997125310335816,0.8014833748873851,0.8896899783705841,47729.0,,,threat,0,model1_Dense_lossC_aug
0.013739981263661914,0.9230769230769231,0.02707692307692308,143.0,,,threat,1,model1_Dense_lossC_aug
0.9967673005310519,0.8018465909090909,0.8871132390050469,47872.0,0.8018465909090909,0.9535517908729165,threat,weighted avg,model1_Dense_lossC_aug
0.995438883518009,0.882396888527544,0.9355154338963309,45509.0,,,insult,0,model1_Dense_lossC_aug
0.28933740539105035,0.9221328819297503,0.4404689710935921,2363.0,,,insult,1,model1_Dense_lossC_aug
0.960585152886032,0.8843582887700535,0.9110795467054286,47872.0,0.8843582887700535,0.9612884187933713,insult,weighted avg,model1_Dense_lossC_aug
0.9995375588889852,0.7289071556539151,0.8430354443956901,47445.0,,,identity_hate,0,model1_Dense_lossC_aug
0.03096511715512695,0.9625292740046838,0.06,427.0,,,identity_hate,1,model1_Dense_lossC_aug
0.9908982617503581,0.7309909759358288,0.836051066580747,47872.0,0.7309909759358288,0.9490454990037767,identity_hate,weighted avg,model1_Dense_lossC_aug
