precision,recall,f1-score,support,accuracy,ROC,category,class,model_name
0.9634323123684826,0.9519914980131227,0.9576777372347596,43284.0,,,toxic,0,model1_Dense_lossD_aug
0.5927087416699334,0.6591107236268526,0.6241486068111455,4588.0,,,toxic,1,model1_Dense_lossD_aug
0.9279025717609262,0.9239221256684492,0.925712671008499,47872.0,0.9239221256684492,0.9046771578069926,toxic,weighted avg,model1_Dense_lossD_aug
0.9915149483564141,0.9985652192260623,0.9950275952693823,47394.0,,,severe_toxic,0,model1_Dense_lossD_aug
0.5177304964539007,0.15271966527196654,0.23586429725363492,478.0,,,severe_toxic,1,model1_Dense_lossD_aug
0.9867842296062177,0.9901194852941176,0.987447380186421,47872.0,0.9901194852941176,0.9611492627546907,severe_toxic,weighted avg,model1_Dense_lossD_aug
0.9710059942663539,0.986148179191389,0.978518510412449,45337.0,,,obscene,0,model1_Dense_lossD_aug
0.6564551422319475,0.47337278106508873,0.5500802200320879,2535.0,,,obscene,1,model1_Dense_lossD_aug
0.9543493597011128,0.9589948195187166,0.9558311134765738,47872.0,0.9589948195187166,0.9137588288521216,obscene,weighted avg,model1_Dense_lossD_aug
0.9972192021410052,0.999287644828092,0.9982523519993303,47729.0,,,threat,0,model1_Dense_lossD_aug
0.22727272727272727,0.06993006993006994,0.10695187165775402,143.0,,,threat,1,model1_Dense_lossD_aug
0.9949192701158932,0.996511530748663,0.99558991949831,47872.0,0.996511530748663,0.9097141099801956,threat,weighted avg,model1_Dense_lossD_aug
0.9746617573367612,0.9830143488101255,0.9788202345527744,45509.0,,,insult,0,model1_Dense_lossD_aug
0.6082108464267613,0.5078290308929327,0.5535055350553506,2363.0,,,insult,1,model1_Dense_lossD_aug
0.9565734488792008,0.9595588235294118,0.9578263626670707,47872.0,0.9595588235294118,0.9179745102946019,insult,weighted avg,model1_Dense_lossD_aug
0.9949956158172758,0.9805057955742887,0.9876975660499527,47450.0,,,identity_hate,0,model1_Dense_lossD_aug
0.16891284815813118,0.44549763033175355,0.2449511400651466,422.0,,,identity_hate,1,model1_Dense_lossD_aug
0.9877135526498261,0.9757896056149733,0.981150127217951,47872.0,0.9757896056149733,0.9029386383271991,identity_hate,weighted avg,model1_Dense_lossD_aug
