loss,accuracy,auc,prc,val_loss,val_accuracy,val_auc,val_prc,lr,model_name
0.15877193212509155,0.8975712656974792,0.8417766690254211,0.3778110146522522,0.16418884694576263,0.838297963142395,0.8870860934257507,0.3650996685028076,0.001,model1_Dense_lossD_aug
0.10437359660863876,0.9001154899597168,0.941441535949707,0.6514742374420166,0.13637633621692657,0.966911792755127,0.9172875881195068,0.48114004731178284,0.001,model1_Dense_lossD_aug
0.08834134787321091,0.9136701822280884,0.9591577649116516,0.7314621210098267,0.12187231332063675,0.912516713142395,0.918053150177002,0.5090867280960083,0.001,model1_Dense_lossD_aug
0.07896838337182999,0.8667540550231934,0.9679329991340637,0.7772670984268188,0.11251375079154968,0.8120822310447693,0.917011559009552,0.527639627456665,0.001,model1_Dense_lossD_aug
0.07340460270643234,0.801272988319397,0.972160279750824,0.8021022081375122,0.12640510499477386,0.6519259810447693,0.9159107208251953,0.5386046171188354,0.001,model1_Dense_lossD_aug
0.06913888454437256,0.7576218247413635,0.9742040634155273,0.8215656280517578,0.11301546543836594,0.5896139740943909,0.9131601452827454,0.5529325008392334,0.001,model1_Dense_lossD_aug
0.06476149708032608,0.6796019673347473,0.9781560897827148,0.8419716954231262,0.10170115530490875,0.5859375,0.9145500659942627,0.560582160949707,0.00020000001,model1_Dense_lossD_aug
0.06266103684902191,0.6858539581298828,0.9794391989707947,0.8497440218925476,0.10254581272602081,0.604069173336029,0.9141406416893005,0.5631950497627258,0.00020000001,model1_Dense_lossD_aug
0.06222433224320412,0.676163375377655,0.9794890880584717,0.8513321876525879,0.10429877787828445,0.5773729681968689,0.9140675663948059,0.5652234554290771,0.00020000001,model1_Dense_lossD_aug
0.06352598965167999,0.5584172010421753,0.9769365191459656,0.8491360545158386,0.10259027779102325,0.7405581474304199,0.9169433116912842,0.5833342671394348,4.0000003e-05,model1_Dense_lossD_aug
